Anpara-B Unit5,Trend Graph 1 1 - TBFPS DATA,07/02/2026,11:35:04
,TagNo,Description,Units
1,BW-SE-401-402.out,BFPA TURBINE SPEED,%
2,PNL-BFPA-AI0100.out,BFPA SPEED COMMAND SIGNAL,rpm
3,BW-ZX-400.out,BFPA CV POSITION,%
4,BW-ZX-400-DMD.out,BFPA CV POSITION DEMAND,%
5,5PNL-BFPA-DI0280.out,BFPA RECIRC VLV (A) OR (B) FULL CLO,
6,BW-SE-404.out,BFPB TURBINE SPEED(A)(rpm),rpm
7,PNL-BFPB-AI0100.out,BFPB SPEED COMMAND SIGNAL,rpm
8,BW-ZX-401.out,BFPB CV POSITION,%
9,BW-ZX-401-DMD.out,BFPB CV POSITION DEMAND,%
10,5PNL-BFPB-DI0280.out,BFPB RECIRC VLV (A) OR (B) FULL CLO,

Date,Time,1,2,3,4,5,6,7,8,9,10
08/01/2026,13:36:37,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:38,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:39,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:40,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:41,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:42,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:43,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:44,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:45,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:46,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:47,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:48,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:49,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:50,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:51,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:52,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,0.0 ,0.0 ,OFF 
08/01/2026,13:36:53,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:54,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:55,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:56,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:57,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:58,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:36:59,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
08/01/2026,13:37:00,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
